Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-03-17 09:35:21,false,"Carmarthenshire - Great Welsh Marathon (Half Marathon)","21.23","2,389","02:26:52","167","184","5.0","154","173","6:55","5:34","98","100","0.93","8.8","8.2","303","6:55","386","0.0","379","561","0.0","0.0","0","0","0","--","0:00","18.0","0:00","No","01:23.91","22","27.0","02:26:46","02:26:52","8","22"
Strength Training,2024-03-13 17:19:57,false,"Strength","0.00","663","01:45:42","100","142","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","10","1","0:00","0.0","0:00","No","01:45:42.42","1","0.0","01:45:42","01:45:42","--","--"
Running,2024-03-08 17:34:30,false,"Cardiff Running","10.01","1,052","01:07:10","147","171","4.6","156","167","6:43","5:38","52","48","0.95","8.9","8.4","301","6:42","402","0.0","397","588","0.0","0.0","0","0","0","--","0:00","17.0","0:00","No","00:05.11","11","27.0","01:07:00","01:07:10","6","15"
Strength Training,2024-03-04 17:17:51,false,"Strength","0.00","794","02:06:42","102","144","1.5","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","9","1","0:00","0.0","0:00","No","02:06:42.49","1","0.0","02:06:42","02:06:42","--","--"
Strength Training,2024-02-26 16:35:29,false,"Strength","0.00","612","01:48:02","95","148","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","6","2","0:00","0.0","0:00","No","01:48:01.86","1","0.0","01:33:05","01:48:02","--","--"
Running,2024-02-25 12:19:50,false,"Cardiff Running","10.00","1,057","01:07:41","155","179","4.5","156","169","6:46","5:18","84","76","0.94","8.8","8.3","298","6:44","396","0.0","388","675","0.0","0.0","0","0","0","--","0:00","10.0","0:00","No","00:00.42","11","26.0","01:07:14","01:07:41","8","22"
Running,2024-02-21 18:33:37,false,"Cardiff Running","5.00","533","00:31:30","162","178","3.8","156","167","6:18","5:28","34","33","1.01","8.6","8.7","297","6:17","414","0.0","409","557","0.0","0.0","0","0","0","--","0:00","17.0","0:00","No","00:00.22","6","27.0","00:31:26","00:31:30","4","13"
Strength Training,2024-02-20 18:00:16,false,"Strength","0.00","547","01:26:39","101","141","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","8","1","0:00","0.0","0:00","No","01:26:39.10","1","0.0","01:26:39","01:26:39","--","--"
Strength Training,2024-02-15 16:32:00,false,"Strength","0.00","725","01:38:47","108","149","1.7","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","3","1","0:00","0.0","0:00","No","01:38:46.93","1","0.0","01:38:47","01:38:47","--","--"
Running,2024-02-11 10:27:31,false,"Cardiff Running","16.04","1,751","01:53:21","159","180","4.7","149","187","7:04","5:50","46","47","0.94","8.9","8.3","300","7:04","381","0.0","363","525","0.0","0.0","0","0","0","--","0:00","18.0","0:00","No","00:12.56","17","25.0","01:48:53","01:53:21","9","18"
